C0 (4060 genes)	C1 (1821 genes)	C2 (1008 genes)	C3 (1919 genes)	C4 (4920 genes)	C5 (2858 genes)	C6 (1913 genes)	C7 (256 genes)
Pele_DN11214_c0_g1_i17	Pele_DN13912_c0_g1_i10	Pele_DN1660_c0_g1_i2	Pele_DN1256_c1_g1_i10	Pele_DN1119_c1_g1_i1	Pele_DN1118_c2_g1_i1	Pele_DN12238_c0_g1_i12	Pele_DN4735_c0_g1_i12
Pele_DN11216_c0_g1_i10	Pele_DN13947_c0_g1_i44	Pele_DN16749_c0_g1_i10	Pele_DN12572_c0_g1_i13	Pele_DN1123_c0_g1_i2	Pele_DN11287_c0_g1_i1	Pele_DN12249_c0_g1_i14	Pele_DN48659_c0_g1_i1
Pele_DN11216_c0_g1_i4	Pele_DN14020_c0_g1_i5	Pele_DN16818_c1_g1_i4	Pele_DN12572_c0_g1_i3	Pele_DN1123_c0_g1_i9	Pele_DN11343_c0_g1_i36	Pele_DN12249_c0_g1_i16	Pele_DN4873_c0_g1_i17
Pele_DN11216_c0_g1_i8	Pele_DN14260_c0_g1_i2	Pele_DN1683_c0_g2_i1	Pele_DN12582_c2_g1_i6	Pele_DN11251_c0_g1_i15	Pele_DN1135_c0_g1_i5	Pele_DN12277_c0_g2_i10	Pele_DN4942_c0_g1_i2
Pele_DN11216_c0_g1_i9	Pele_DN14276_c0_g1_i12	Pele_DN16857_c0_g1_i1	Pele_DN1260_c0_g1_i16	Pele_DN11361_c0_g1_i4	Pele_DN11369_c0_g2_i1	Pele_DN12295_c0_g1_i21	Pele_DN513_c1_g1_i7
Pele_DN1121_c0_g1_i10	Pele_DN14313_c0_g1_i1	Pele_DN17041_c7_g1_i2	Pele_DN12704_c2_g1_i19	Pele_DN11383_c0_g1_i20	Pele_DN113952_c0_g2_i1	Pele_DN12295_c0_g1_i34	Pele_DN5292_c0_g2_i8
Pele_DN11247_c0_g1_i6	Pele_DN14329_c0_g2_i1	Pele_DN17133_c0_g2_i1	Pele_DN12704_c2_g1_i30	Pele_DN11396_c1_g1_i5	Pele_DN114016_c0_g1_i2	Pele_DN12296_c0_g1_i18	Pele_DN54293_c0_g1_i2
Pele_DN11322_c0_g2_i2	Pele_DN14349_c0_g1_i3	Pele_DN17159_c0_g1_i2	Pele_DN12704_c2_g1_i58	Pele_DN1142_c0_g1_i11	Pele_DN1143_c0_g1_i11	Pele_DN12379_c1_g1_i42	Pele_DN5444_c0_g1_i6
Pele_DN11373_c0_g1_i2	Pele_DN14378_c0_g2_i19	Pele_DN17280_c0_g1_i2	Pele_DN12707_c1_g1_i4	Pele_DN1142_c0_g1_i8	Pele_DN1143_c0_g1_i12	Pele_DN12402_c0_g1_i1	Pele_DN5483_c0_g1_i4
Pele_DN11427_c0_g1_i6	Pele_DN1438_c0_g1_i40	Pele_DN17373_c0_g1_i2	Pele_DN12751_c0_g1_i1	Pele_DN11434_c0_g1_i3	Pele_DN1146_c11_g1_i1	Pele_DN12424_c0_g1_i25	Pele_DN5804_c0_g1_i8
Pele_DN11451_c0_g1_i1	Pele_DN145000_c0_g1_i1	Pele_DN17464_c0_g1_i1	Pele_DN12801_c0_g1_i7	Pele_DN11444_c0_g1_i6	Pele_DN11479_c0_g1_i19	Pele_DN12498_c0_g1_i2	Pele_DN5812_c0_g1_i32
Pele_DN114549_c0_g1_i1	Pele_DN14546_c0_g1_i2	Pele_DN17643_c2_g1_i17	Pele_DN1281_c2_g1_i4	Pele_DN11445_c0_g1_i1	Pele_DN1150_c0_g1_i12	Pele_DN125009_c0_g1_i4	Pele_DN59631_c1_g1_i1
Pele_DN115156_c0_g1_i1	Pele_DN1454_c0_g1_i38	Pele_DN17706_c1_g1_i1	Pele_DN12909_c0_g1_i9	Pele_DN11476_c0_g1_i2	Pele_DN11525_c0_g1_i15	Pele_DN12509_c0_g1_i13	Pele_DN596_c0_g1_i4
Pele_DN1153_c0_g2_i1	Pele_DN146655_c0_g2_i2	Pele_DN17706_c4_g3_i1	Pele_DN1297_c3_g1_i2	Pele_DN11479_c0_g1_i1	Pele_DN11555_c0_g1_i6	Pele_DN12509_c0_g1_i6	Pele_DN63635_c0_g1_i1
